mlabel_id,slabel_id,label_name
1,1,飯食
1,2,麵食
1,3,米粉
1,4,燒臘
1,5,綜合
1,6,鵝肉飯
1,7,鹹水雞
1,8,火鍋
1,9,牛肉麵
1,10,快餐
1,11,麻油雞
1,12,螺獅粉
1,13,滷味
1,14,雞肉飯
1,15,水餃
2,1,披薩
2,2,義大利麵
3,1,湯圓
3,2,其他
3,3,冰品
3,4,港點
3,5,麻糬
3,6,西點
3,7,粉圓
3,8,雞蛋糕
3,9,車輪餅
3,10,豆花
3,11,中式麵點
4,1,飯糰
4,2,POKE
5,1,串燒
5,2,關東煮
5,3,烏龍麵
5,4,燒肉
5,5,拉麵
5,6,居酒屋
5,7,咖哩
5,8,壽司
5,9,丼飯
5,10,豬排
5,11,鐵板燒
5,12,鰻魚
5,13,綜合
5,14,烤肉飯
6,1,義式料理
6,2,臭豆腐
6,3,綜合
6,4,漢堡
6,5,快餐
7,1,泰式料理
7,2,緬甸料理
7,3,印度料理
7,4,咖哩
7,5,綜合
7,6,越式料理
7,7,印尼料理
7,8,海南雞飯
7,9,雲泰料理
7,10,馬來西亞料理
8,1,漢堡
8,2,綜合
8,3,炸雞
8,4,牛排
9,1,綜合
9,2,飯糰
9,3,蛋餅
9,4,漢堡
10,1,潛艇堡
10,2,炸物
10,3,綜合
11,1,烤肉
11,2,飯食
11,3,綜合
12,1,綜合
13,1,捲餅
13,2,串燒
13,3,古巴三明治
13,4,香料飯
14,1,綜合
15,1,綜合
